Card number,Transaction date,Description,Value,Type
field_cc_account_number,field_cc_transaction_date,field_cc_transaction_description,field_cc_transaction_value,
5434603084114355,8/3/2012,PAYMENT - THANK YOU,700,
5434603084114355,7/28/2012,SAINSBURY'S CLAPHAM GBR,-46.78,
5434603084114355,7/21/2012,WWW.LESMILLS.COM 0207 7410060 GBR,-60,
5434603084114355,7/21/2012,CONTENT BEAUTY&WELL BE LONDON W1U GBR,-175.44,
5434603084114355,9/4/2012,EASYJETEKG9ZZ3 EASYJET.COM GBR,-275.46,
5434603084114355,9/4/2012,WWW.LESMILLS.COM 0207 7410060 GBR,-123.91,
5434603084114355,9/4/2012,EXPEDIA CO UK 0871 226 0808 FRA,-412.93,
5434603084114355,8/31/2012,PAYMENT - THANK YOU,130.64,
5434603084114355,8/27/2012,GAP LONDON GBR,-20.96,
5434603084114355,8/27/2012,ZARA STRATFORD STRATFORD GBR,-45.98,
5434603084114355,8/27/2012,ALDO UK,-125,
5434603084114355,8/27/2012,SAINSBURYS S/MKTS CLAPHAM COMMO GBR,-33.08,
5434603084114355,8/27/2012,SPORTSDIRECT.COM STRATFORD CIT GBR,-64.97,
5434603084114355,8/25/2012,CONTENT BEAUTY&WELL BE LONDON W1U GBR,-69.45,
5434603084114355,8/20/2012,Amazon Digital Dwnlds 866-321-8851 LUX,-4.74,
5434603084114355,10/17/2012,PRET A MA INTERNET LONDON SW1E GBR,-34,
5434603084114355,10/5/2012,SELFSERVE TICKET SWTRAINS CLAP GBR,-19.8,
5434603084114355,9/30/2012,EASYJETEKG9ZZ3 EASYJET.COM GBR,-44,
5434603084114355,9/28/2012,PAYMENT - THANK YOU,1248.54,
5434603084114355,9/24/2012,GUARDIAN NEWS AND MEDI 442033533001 GBR,-76.8,
5434603084114355,11/9/2012,BODY ACTIVE WARRINGTON GBR,-35.98,
5434603084114355,11/4/2012,PAYMENT - THANK YOU,1027.11,
5434603084114355,11/3/2012,APPLE ITUNES STORE-GBP ITUNES.COM LUX,-9.99,
5434603084114355,10/31/2012,Amazon *Mktplce EU-UK AMAZON.CO.UK LUX,-91,
5434603084114355,10/26/2012,MAPLIN LIVERPL ST EC2M LONDON EC2M GBR,-33.98,
5434603084114355,10/26/2012,WWW.STAPLES.CO.UK 08445 466666 GBR,-159.82,
5434603084114355,10/26/2012,Amazon Digital Dwnlds 866-321-8851 LUX,-6.83,
5434603084114355,10/25/2012,PRET A MA INTERNET LONDON SW1E GBR,-77.05,
5434603084114355,10/23/2012,PRET A MA INTERNET LONDON SW1E GBR,-34.5,
5434603084114355,10/23/2012,PRET A MA INTERNET LONDON SW1E GBR,-34.5,
5434603084114355,10/23/2012,WWW.LESMILLS.COM 0207 7410060 GBR,-123.91,
5434603084114355,10/23/2012,WWW.LESMILLS.COM 0207 7410060 GBR,-66,
5434603084114355,10/22/2012,WWW.STAPLES.CO.UK 08445 466666 GBR,-301.72,
