Account number,Transaction date,Description,Value,Type
field_ba_account_number,field_ba_transaction_date,field_ba_transaction_description,field_ba_transaction_value,
56552390,04/11/2012,404639 51691111 INTERNET TRANSFER,200,
56552390,01/11/2012,DEBIT INTEREST TO 31OCT2012,-184.6,
56552390,01/11/2012,MORTGAGE PAYMENT,609.73,
56552390,01/10/2012,DEBIT INTEREST TO 30SEP2012,-179.48,
56552390,01/10/2012,MORTGAGE PAYMENT,609.73,
56552390,12/09/2012,404639 51691111 INTERNET TRANSFER,301.35,
56552390,03/09/2012,DEBIT INTEREST TO 31AUG2012,-186.35,
56552390,03/09/2012,MORTGAGE PAYMENT,609.73,
56552390,01/08/2012,DEBIT INTEREST TO 31JUL2012,-187.56,
56552390,01/08/2012,MORTGAGE PAYMENT,609.73,
56552390,21/07/2012,404639 81401111 INTERNET TRANSFER,559.63,
56552390,02/07/2012,DEBIT INTEREST TO 30JUN2012,-182.45,
56552390,02/07/2012,MORTGAGE PAYMENT,609.73,
56552390,03/06/2012,404639 51691111 INTERNET TRANSFER,400.52,
56552390,01/06/2012,DEBIT INTEREST TO 31MAY2012,-189.74,
56552390,01/06/2012,MORTGAGE PAYMENT,609.73,
56552390,01/05/2012,DEBIT INTEREST TO 30APR2012,-184.38,
56552390,01/05/2012,MORTGAGE PAYMENT,609.73,
56552390,05/04/2012,404639 51691111 INTERNET TRANSFER,204.25,
56552390,05/04/2012,404639 81401111 INTERNET TRANSFER,351.02,
56552390,02/04/2012,DEBIT INTEREST TO 31MAR2012,-191.87,
56552390,02/04/2012,MORTGAGE PAYMENT,609.73,
56552390,01/03/2012,DEBIT INTEREST TO 29FEB2012,-180.1,
56552390,01/03/2012,MORTGAGE PAYMENT,609.73,
56552390,01/02/2012,DEBIT INTEREST TO 31JAN2012,-193.19,
56552390,01/02/2012,MORTGAGE PAYMENT,609.73,
56552390,03/01/2012,DEBIT INTEREST TO 31DEC2011,-194.57,
56552390,03/01/2012,MORTGAGE PAYMENT,609.73,
21401643,12/11/2012,MARKS & SPENCER SS CLAPHAM JNCTN,-8,
21401643,12/11/2012,TWO BREWERS CLAPHAM,-40.65,
21401643,12/11/2012,FIRE & STONE LONDON  WC2E,-14.54,
21401643,12/11/2012,PAPERCHASE LONDON,-8.25,
21401643,12/11/2012,SELFSERVE TICKET SWTRAINS CLAP,-6.3,
21401643,12/11/2012,SAINSBURY'S CLAPHAM,-86.78,
21401643,12/11/2012,FREEDOM LONDON,-31.2,
21401643,12/11/2012,FREEDOM LONDON,-36.1,
21401643,12/11/2012,BALANS SOHO LONDON,-12.27,
21401643,12/11/2012,SACAT MARKS & SPEN LONDON,-4.5,
