Account number,Transaction date,Description,Value,Type
field_ba_account_number,field_ba_transaction_date,field_ba_transaction_description,field_ba_transaction_value,
98761027,9/11/2011,SAINSBURY'S SMKT,-32.68,
98761027,9/11/2011,NEW SOUTHERN RAILW,-16.3,
98761027,9/11/2011,BE AT ONE,-11,
98761027,9/11/2011,EP BAR,-7,
98761027,8/11/2011,000000 CREDIT,20,
98761027,8/11/2011,I-F TFR 97981111,68,
98761027,8/11/2011,ACTION AID 0852467 2,-13.02,
98761027,8/11/2011,PAYPAL PAYMENT 4SZJ2223CUT,-2.92,
98761027,8/11/2011,751805,-14,
98761027,8/11/2011,751804,-10,
98761027,8/11/2011,TESCO UPT 3873,-50.99,
98761027,8/11/2011,MARKS & SPENCER,-25.07,
98761027,8/11/2011,B & Q,-19.16,
98761027,8/11/2011,CO-OP GROUP 500340,-13.6,
98761027,8/11/2011,HALFORDS 0763,-11.99,
98761027,8/11/2011,HOMEBASE LTD 050,-10.99,
98761027,8/11/2011,Amazon Web Service,-4.27,
98761027,7/11/2011,FIRST DIRECT MORTGAGE,-684.19,
98761027,7/11/2011,STANDARD LIFE A CO K1377871111,-120,
98761027,7/11/2011,TESCO EXPRESS 2688,-6.58,
98761027,4/11/2011,HFC BANK LTD HFC BANK 47,-33.94,
98761027,4/11/2011,PAYPAL PAYMENT 4X4J22222KN,-75.34,
98761027,4/11/2011,PAYPAL PAYMENT 4X4J22222KN,-3.24,
98761027,4/11/2011,COOP ATM16:22NOV04,-30,
98761027,4/11/2012,404639 51691111 INTERNET TRANSFER,200,
98761027,1/11/2012,DEBIT INTEREST TO 31OCT2012,-184.6,
98761027,1/11/2012,MORTGAGE PAYMENT,609.73,
98761027,1/10/2012,DEBIT INTEREST TO 30SEP2012,-179.48,
98761027,1/10/2012,MORTGAGE PAYMENT,609.73,
98761027,12/9/2012,404639 51691111 INTERNET TRANSFER,301.35,
98761027,3/9/2012,DEBIT INTEREST TO 31AUG2012,-186.35,
98761027,3/9/2012,MORTGAGE PAYMENT,609.73,
98761027,1/8/2012,DEBIT INTEREST TO 31JUL2012,-187.56,
98761027,1/8/2012,MORTGAGE PAYMENT,609.73,
98761027,21/07/2012,404639 81401111 INTERNET TRANSFER,559.63,
98761027,2/7/2012,DEBIT INTEREST TO 30JUN2012,-182.45,
98761027,2/7/2012,MORTGAGE PAYMENT,609.73,
98761027,3/6/2012,404639 51691111 INTERNET TRANSFER,400.52,
98761027,1/6/2012,DEBIT INTEREST TO 31MAY2012,-189.74,
98761027,1/6/2012,MORTGAGE PAYMENT,609.73,
98761027,1/5/2012,DEBIT INTEREST TO 30APR2012,-184.38,
98761027,1/5/2012,MORTGAGE PAYMENT,609.73,
98761027,5/4/2012,404639 51691111 INTERNET TRANSFER,204.25,
98761027,5/4/2012,404639 81401111 INTERNET TRANSFER,351.02,
98761027,2/4/2012,DEBIT INTEREST TO 31MAR2012,-191.87,
98761027,2/4/2012,MORTGAGE PAYMENT,609.73,
98761027,1/3/2012,DEBIT INTEREST TO 29FEB2012,-180.1,
98761027,1/3/2012,MORTGAGE PAYMENT,609.73,
98761027,1/2/2012,DEBIT INTEREST TO 31JAN2012,-193.19,
98761027,1/2/2012,MORTGAGE PAYMENT,609.73,
98761027,5/4/2012,404639 51691111 INTERNET TRANSFER,204.25,
98761027,5/4/2012,404639 81401111 INTERNET TRANSFER,351.02,
98761027,2/4/2012,DEBIT INTEREST TO 31MAR2012,-191.87,
98761027,2/4/2012,MORTGAGE PAYMENT,609.73,
98761027,1/3/2012,DEBIT INTEREST TO 29FEB2012,-180.1,
98761027,1/3/2012,MORTGAGE PAYMENT,609.73,
98761027,1/2/2012,DEBIT INTEREST TO 31JAN2012,-193.19,
98761027,1/2/2012,MORTGAGE PAYMENT,609.73,
98761027,9/11/2011,SAINSBURY'S SMKT,-32.68,
98761027,9/11/2011,NEW SOUTHERN RAILW,-16.3,
98761027,9/11/2011,BE AT ONE,-11,
98761027,9/11/2011,EP BAR,-7,
98761027,8/11/2011,000000 CREDIT,20,
98761027,8/11/2011,I-F TFR 97981111,68,
98761027,8/11/2011,ACTION AID 0852467 2,-13.02,
98761027,8/11/2011,PAYPAL PAYMENT 4SZJ2223CUT,-2.92,
98761027,8/11/2011,751805,-14,
98761027,8/11/2011,751804,-10,
98761027,8/11/2011,TESCO UPT 3873,-50.99,
98761027,8/11/2011,MARKS & SPENCER,-25.07,
98761027,8/11/2011,B & Q,-19.16,
98761027,8/11/2011,CO-OP GROUP 500340,-13.6,
98761027,8/11/2011,HALFORDS 0763,-11.99,
98761027,8/11/2011,HOMEBASE LTD 050,-10.99,
98761027,8/11/2011,Amazon Web Service,-4.27,
98761027,7/11/2011,FIRST DIRECT MORTGAGE,-684.19,
98761027,7/11/2011,STANDARD LIFE A CO K1377871111,-120,
98761027,7/11/2011,TESCO EXPRESS 2688,-6.58,
98761027,4/11/2011,HFC BANK LTD HFC BANK 47,-33.94,
98761027,4/11/2011,PAYPAL PAYMENT 4X4J22222KN,-75.34,
98761027,4/11/2011,PAYPAL PAYMENT 4X4J22222KN,-3.24,
98761027,4/11/2011,COOP ATM16:22NOV04,-30,
98761027,4/11/2012,404639 51691111 INTERNET TRANSFER,200,
98761027,1/11/2012,DEBIT INTEREST TO 31OCT2012,-184.6,
98761027,1/11/2012,MORTGAGE PAYMENT,609.73,
98761027,1/10/2012,DEBIT INTEREST TO 30SEP2012,-179.48,
98761027,1/10/2012,MORTGAGE PAYMENT,609.73,
98761027,12/9/2012,404639 51691111 INTERNET TRANSFER,301.35,
98761027,3/9/2012,DEBIT INTEREST TO 31AUG2012,-186.35,
98761027,3/9/2012,MORTGAGE PAYMENT,609.73,
98761027,1/8/2012,DEBIT INTEREST TO 31JUL2012,-187.56,
98761027,1/8/2012,MORTGAGE PAYMENT,609.73,
98761027,21/07/2012,404639 81401111 INTERNET TRANSFER,559.63,
98761027,2/7/2012,DEBIT INTEREST TO 30JUN2012,-182.45,
98761027,2/7/2012,MORTGAGE PAYMENT,609.73,
98761027,3/6/2012,404639 51691111 INTERNET TRANSFER,400.52,
98761027,1/6/2012,DEBIT INTEREST TO 31MAY2012,-189.74,
98761027,1/6/2012,MORTGAGE PAYMENT,609.73,
98761027,1/5/2012,DEBIT INTEREST TO 30APR2012,-184.38,
98761027,1/5/2012,MORTGAGE PAYMENT,609.73,
98761027,5/4/2012,404639 51691111 INTERNET TRANSFER,204.25,
98761027,5/4/2012,404639 81401111 INTERNET TRANSFER,351.02,
98761027,2/4/2012,DEBIT INTEREST TO 31MAR2012,-191.87,
98761027,2/4/2012,MORTGAGE PAYMENT,609.73,
98761027,1/3/2012,DEBIT INTEREST TO 29FEB2012,-180.1,
98761027,1/3/2012,MORTGAGE PAYMENT,609.73,
98761027,1/2/2012,DEBIT INTEREST TO 31JAN2012,-193.19,
98761027,1/2/2012,MORTGAGE PAYMENT,609.73,
